text,clean_text,sentiment,emotion
"Lee Hsien Loong can only maintain the country, he cant further develop the nation. Cox he didnt try to be better than his Father (Lee kyan Yew). \nDuring the catastrophic time, He need to use up his father Hard Earnings for the Nation. Whatever Lee Hsien Loong trying to do now the situation will get worse. Singapore need someone who is better than Lee kyan Yew to recover the Situation right now. \n\nLee kyan Yew still have worry to handover the nation into his son before he pass away. I hope Lee Hsien Loong still listen to the Advice from Lee kyan Yew's Followers and his Best man. (I hope this message reach to Mr Lee Hsien Loong, he know himself too)","Lee Hsien Loong can only maintain the country, he cant further develop the nation. Cox he didnt try to be better than his Father (Lee kyan Yew).  During the catastrophic time, He need to use up his father Hard Earnings for the Nation. Whatever Lee Hsien Loong trying to do now the situation will get worse. Singapore need someone who is better than Lee kyan Yew to recover the Situation right now.   Lee kyan Yew still have worry to handover the nation into his son before he pass away. I hope Lee Hsien Loong still listen to the Advice from Lee kyan Yew's Followers and his Best man. (I hope this message reach to Mr Lee Hsien Loong, he know himself too)",neutral,worry
This is to all Singaporean that are still inconsiderate I want u all to Watch This https://youtu.be/zK2bOV3-fX8,This is to all Singaporean that are still inconsiderate I want u all to Watch This https://youtu.be/zK2bOV3-fX8,neutral,worry
Where is Pm lee Holy water when he speaks in different language,Where is Pm lee Holy water when he speaks in different language,neutral,neutral
GOD WITH SINGAPORE 24/7.,GOD WITH SINGAPORE 24/7.,neutral,neutral
How about the person want to move in his new accommodation it is allowed during extension he will transfer in 5th of may.,How about the person want to move in his new accommodation it is allowed during extension he will transfer in 5th of may.,neutral,neutral
I am a singaporean and it's very boring at home and my phone just broke today,I am a singaporean and it's very boring at home and my phone just broke today,negative,sadness
"Walks on screen\n""Hey vsauce""","Walks on screen ""Hey vsauce""",neutral,neutral
"Steady President !!! I'm from Singapore but work at Australia Perth... So sad my family at Singapore... BTW thx the President... Kami disini bekerja pun dah susah...mahu bayar rumah kereta.. Kawan kami ada yg dah married org rumah ada sini lg, pening² mahu cari Duit ... Lockdown... DOA kan baik² kami disini perantauan... 😓😓","Steady President !!! I'm from Singapore but work at Australia Perth... So sad my family at Singapore... BTW thx the President... Kami disini bekerja pun dah susah...mahu bayar rumah kereta.. Kawan kami ada yg dah married org rumah ada sini lg, pening mahu cari Duit ... Lockdown... DOA kan baik kami disini perantauan... ",negative,sadness
"Stupid govt, stupid policies.","Stupid govt, stupid policies.",negative,hate
I feel very sad that they never foresaw this happening.\n\nThe dorm got so many people sleeping together in one room.\nAnyone with a brain could have foresaw this happening if someone in the dorm got affected.\nIF they have separate them earlier on and put up solid measure this couldn't had happened.,I feel very sad that they never foresaw this happening.  The dorm got so many people sleeping together in one room. Anyone with a brain could have foresaw this happening if someone in the dorm got affected. IF they have separate them earlier on and put up solid measure this couldn't had happened.,negative,sadness
I only want to hear about $$$$.,I only want to hear about $$$$.,neutral,worry
ilov u Singapore,ilov u Singapore,neutral,neutral
Landlord wants to move me out before June 1. Must not care if I get infected or can't find a place because the agents and movers are on lockdown too. Some really unethical people in the world these days ...,Landlord wants to move me out before June 1. Must not care if I get infected or can't find a place because the agents and movers are on lockdown too. Some really unethical people in the world these days ...,negative,worry
#Sgunited,#Sgunited,neutral,neutral
How is this 1# on trending isn’t it just for Singapore?,How is this 1# on trending isnt it just for Singapore?,neutral,neutral
update,update,neutral,neutral
"Dear All Human Beings, \n\nWe are called humans not because of our physical appearance, but because of insight that we have. Only human being can think deeply and act wisely. So, the virus is spreading very fast and therefore this is high time for us to think deeply and act wisely. In fact, the virus or death doesn't care which religion, nationality, race and political party we belong to. The virus and death only care about whether we are living being or not. Since it is so, at least now, we must stop discrimination according to our own religion, political party, race or nationality. Just we must stand up as a wise Human being without discrimination to fight against the virus. By now, our main priority must be to stop spreading and transmission of the virus. However, we can see still people look forward and go out to eat McDonald, KFC, Pizza hut and Starbucks. If we do so, it is better to get ready for our funeral. This is not time for having fun or pleasing our tongue. This is not time for us to live to eat, but eat to live. So, just we need to be satisfied with what we have. There may be only one meal per day, but still we can survive by eating something. If we can't tolerate and be patient with it, we will have to suffer a lot and even leave everything. To overcome the current epidemic, we must let our conceit and egoistic ideas go and we must have a good listening skill. It is clear that we are not experts in medical treatments. That is why we must obey and follow the instructions of the doctors' and healthcare staffs. No matter how much power, money and material things we have, no one can use or no way to use those things at the moment. So, let's be united as humans and let's do our part properly. Let's fulfill our own duties and responsibilities towards the society and let's try our best to help our own government, army forces and healthcare staffs to stop the virus and to see a peaceful future. \n\nMay each and everyone be wise and have insight to act as humans without any discrimination and without any egoistic and selfish thought. May the humanity arise against the virus and may the whole world be free from the virus, its cause, its danger, its fear, its worry and its suffering. May all each and everyone and every being be protected by the Blessings of all kind hearted people's Loving-kindness and Compassionate thoughts....!","Dear All Human Beings,   We are called humans not because of our physical appearance, but because of insight that we have. Only human being can think deeply and act wisely. So, the virus is spreading very fast and therefore this is high time for us to think deeply and act wisely. In fact, the virus or death doesn't care which religion, nationality, race and political party we belong to. The virus and death only care about whether we are living being or not. Since it is so, at least now, we must stop discrimination according to our own religion, political party, race or nationality. Just we must stand up as a wise Human being without discrimination to fight against the virus. By now, our main priority must be to stop spreading and transmission of the virus. However, we can see still people look forward and go out to eat McDonald, KFC, Pizza hut and Starbucks. If we do so, it is better to get ready for our funeral. This is not time for having fun or pleasing our tongue. This is not time for us to live to eat, but eat to live. So, just we need to be satisfied with what we have. There may be only one meal per day, but still we can survive by eating something. If we can't tolerate and be patient with it, we will have to suffer a lot and even leave everything. To overcome the current epidemic, we must let our conceit and egoistic ideas go and we must have a good listening skill. It is clear that we are not experts in medical treatments. That is why we must obey and follow the instructions of the doctors' and healthcare staffs. No matter how much power, money and material things we have, no one can use or no way to use those things at the moment. So, let's be united as humans and let's do our part properly. Let's fulfill our own duties and responsibilities towards the society and let's try our best to help our own government, army forces and healthcare staffs to stop the virus and to see a peaceful future.   May each and everyone be wise and have insight to act as humans without any discrimination and without any egoistic and selfish thought. May the humanity arise against the virus and may the whole world be free from the virus, its cause, its danger, its fear, its worry and its suffering. May all each and everyone and every being be protected by the Blessings of all kind hearted people's Loving-kindness and Compassionate thoughts....!",neutral,worry
Celebrate 😆😆😆stop dreaming,Celebrate stop dreaming,neutral,happiness
"Hydrochloroquine is the cure for covid 19 plus zinc and vitamin a , c, d lord 144000 archangel thomas💖💕❤💓💗bill gate is a illuminati 13 bloodline be careful of him. Lord is soon to come.","Hydrochloroquine is the cure for covid 19 plus zinc and vitamin a , c, d lord 144000 archangel thomasbill gate is a illuminati 13 bloodline be careful of him. Lord is soon to come.",neutral,worry
"Hydrochloroquine is the cure for covid 19 plus zinc and vitamin a , c, d lord 144000 archangel thomas💖💕❤💓💗bill gate is a illuminati 13 bloodline be careful of him. Lord is soon to come.","Hydrochloroquine is the cure for covid 19 plus zinc and vitamin a , c, d lord 144000 archangel thomasbill gate is a illuminati 13 bloodline be careful of him. Lord is soon to come.",neutral,worry
"Permenemt ltvp+ for singaporean foregin wife with child after ltvp+ for 2 year. Still government have no heart to give pr and citizenship to low income. After +ltvp+ should be citizen not pr. They can choose to go for citizenship after 2 year or contiune with ltvp+. Save all the trouble. Reduce document like income for our citizen. Sometime they lose job for 1 year or more. Then their wife cannot stay in singapore cause ica alway look at income. Once they have child, make it as easy as possible for all this family.","Permenemt ltvp+ for singaporean foregin wife with child after ltvp+ for 2 year. Still government have no heart to give pr and citizenship to low income. After +ltvp+ should be citizen not pr. They can choose to go for citizenship after 2 year or contiune with ltvp+. Save all the trouble. Reduce document like income for our citizen. Sometime they lose job for 1 year or more. Then their wife cannot stay in singapore cause ica alway look at income. Once they have child, make it as easy as possible for all this family.",neutral,worry
"Thank you Mr. PM Lee and your team for working hard to lead us through for fighting against this Convid19 pandemic..\nAs much as the extension of the Circuit Breaker will affect the economy and the convenience of the public, it is necessary for the long term. \nThis is the time when all of us staying in Singapore to be responsible and help one another..\nEveryone stay strong, stay healthy, stay at home! \n😊♥️","Thank you Mr. PM Lee and your team for working hard to lead us through for fighting against this Convid19 pandemic.. As much as the extension of the Circuit Breaker will affect the economy and the convenience of the public, it is necessary for the long term.  This is the time when all of us staying in Singapore to be responsible and help one another.. Everyone stay strong, stay healthy, stay at home!  ",positive,relief
1:03:05 Cheryl being cutting off... why tho?,1:03:05 Cheryl being cutting off... why tho?,neutral,worry
Please note China heading Covid-19 again... Avoid China...\nhttps://youtu.be/BROwxhuZB78,Please note China heading Covid-19 again... Avoid China... https://youtu.be/BROwxhuZB78,neutral,neutral
"Conduct massive CoVid-19 tests for all (migrant workers and residents), and thereafter treat/isolate all the asymptomatic personnel.","Conduct massive CoVid-19 tests for all (migrant workers and residents), and thereafter treat/isolate all the asymptomatic personnel.",neutral,worry
school also the same? To 1Jun?,school also the same? To 1Jun?,neutral,neutral
那个国家像新加坡能说明3语言💪👍,3,neutral,neutral
Fate test kit,Fate test kit,neutral,neutral
All scam agenda 21,All scam agenda 21,neutral,neutral
Then why lockdown singaporean when ur fw fall sick,Then why lockdown singaporean when ur fw fall sick,negative,worry
Shameless,Shameless,negative,sadness
เราจะสู้ไปด้วยกัน...,...,neutral,neutral
Hahah cameraman sleeping,Hahah cameraman sleeping,neutral,happiness
#sgunited  we will all get through this together facing all the challenges,#sgunited  we will all get through this together facing all the challenges,neutral,worry
We are fighting an invisible enemy and it’s akin to war. I hope everyone Treat this like war times please and stay home. Nobody needs to be told to stay home or fined during war times.,We are fighting an invisible enemy and its akin to war. I hope everyone Treat this like war times please and stay home. Nobody needs to be told to stay home or fined during war times.,positive,worry
I pray for all world this virus faster fast finish !!!!,I pray for all world this virus faster fast finish !!!!,neutral,worry
At least Singapore is trying to test every possible cases..not like some countries hiding their numbers. Good luck!,At least Singapore is trying to test every possible cases..not like some countries hiding their numbers. Good luck!,positive,neutral
"""Service Recovery"" after the dorms were missed out. Simple as that.","""Service Recovery"" after the dorms were missed out. Simple as that.",neutral,relief
Stay together fight against Corona virus keep the faith🌐👐✌️👍,Stay together fight against Corona virus keep the faith,neutral,worry
Sir since you mentioned dorm why the director of the dorm never come out to make an apology? Why the law never take action on them? They failed to put immediate  safety measures during covid19  breakout. The director are very irresponsibility you should sue them until their pant drop. If you don't mentioned the dorm I won't bring out to your attention. Hee...,Sir since you mentioned dorm why the director of the dorm never come out to make an apology? Why the law never take action on them? They failed to put immediate  safety measures during covid19  breakout. The director are very irresponsibility you should sue them until their pant drop. If you don't mentioned the dorm I won't bring out to your attention. Hee...,negative,worry
All the Way Singapura still NO1...,All the Way Singapura still NO1...,neutral,neutral
"Once thing need to highlight , Present Hairdressing must closed for more then a month will reopen on 1 June.. If the person hair is long then go where to cut hair...","Once thing need to highlight , Present Hairdressing must closed for more then a month will reopen on 1 June.. If the person hair is long then go where to cut hair...",neutral,neutral
I want the magic water,I want the magic water,neutral,neutral
Good decision,Good decision,positive,neutral
Nice sg gv,Nice sg gv,positive,neutral
Stay safe SG,Stay safe SG,positive,neutral
"My message as a Malaysian to my Singaporean  friends is that this pandemic surely will pass  . So , with that in mind , enduring all that you  're u dergoing prese tly will be easier.  Here , in Malaysia  , the strict measures adopted seem to be paying off , humbly speaki g.  Lately , infections  have dropped very sig ifica tly ,with Selangor recordi g zero case on one particular day.  The light at the e nd of the tunnel seems to be drawing closer. And I am sure Singapore will see that light too ,soon , God willing . Cheers .","My message as a Malaysian to my Singaporean  friends is that this pandemic surely will pass  . So , with that in mind , enduring all that you  're u dergoing prese tly will be easier.  Here , in Malaysia  , the strict measures adopted seem to be paying off , humbly speaki g.  Lately , infections  have dropped very sig ifica tly ,with Selangor recordi g zero case on one particular day.  The light at the e nd of the tunnel seems to be drawing closer. And I am sure Singapore will see that light too ,soon , God willing . Cheers .",positive,neutral
"The migrant workers live in terrible condition for the past several decades in Singapore, where they provided their hard work. They must be taken care at this time and this message sounds very promising for all.","The migrant workers live in terrible condition for the past several decades in Singapore, where they provided their hard work. They must be taken care at this time and this message sounds very promising for all.",neutral,worry
https://www.facebook.com/100003352915913/posts/2857442417710827/,https://www.facebook.com/100003352915913/posts/2857442417710827/,neutral,neutral
We are indeed in an unprecedented times for Singapore. Thank you all those who working hard to keep Singapore safe! Really appreciate!,We are indeed in an unprecedented times for Singapore. Thank you all those who working hard to keep Singapore safe! Really appreciate!,positive,happiness
Singaporeans think they are better than others... better than foreign workers... white expat treated like royals... sad communities of fake values... kiasu gives.. kiasu gets... good riddance... now you are no. 1... RIP Singapore..,Singaporeans think they are better than others... better than foreign workers... white expat treated like royals... sad communities of fake values... kiasu gives.. kiasu gets... good riddance... now you are no. 1... RIP Singapore..,neutral,sadness
OK but...\n\n\n\n\n\n\nis geylang considered essential service??,OK but...       is geylang considered essential service??,neutral,neutral
Would Geylang Lorong 22 open for business by end of April?,Would Geylang Lorong 22 open for business by end of April?,neutral,neutral
NWO Is Here! Bill Gates Patents Human Slavery Mark of the Beast System with Patent #666www.youtube.com/watch?v=A4jtqWJgm5s,NWO Is Here! Bill Gates Patents Human Slavery Mark of the Beast System with Patent #666www.youtube.com/watch?v=A4jtqWJgm5s,neutral,neutral
NWO Is Here! Bill Gates Patents Human Slavery Mark of the Beast System with Patent #666www.youtube.com/watch?v=A4jtqWJgm5s,NWO Is Here! Bill Gates Patents Human Slavery Mark of the Beast System with Patent #666www.youtube.com/watch?v=A4jtqWJgm5s,neutral,neutral
"Don't always judge Singaporean cannot take this job etc: construction, clearing toilet bowl, all for foreigner  worker can do all Singaporean also can do. if clearing toilet bowl salary start from SGD 4000 guarantee long queue. if intend to use cheap labour and take more profit then push the word to the local citizen. How to balance if you holding certificate or no certificate, this is the issue make the world not balance not only in SG. Certificate only can proof you have more knowledge does not mean you are smart. Agree with it if you holding certificate yes you can work in air-con environment but in salary should not much difference. if everything go for balance the earth with be more healthy and human will be more happiness.","Don't always judge Singaporean cannot take this job etc: construction, clearing toilet bowl, all for foreigner  worker can do all Singaporean also can do. if clearing toilet bowl salary start from SGD 4000 guarantee long queue. if intend to use cheap labour and take more profit then push the word to the local citizen. How to balance if you holding certificate or no certificate, this is the issue make the world not balance not only in SG. Certificate only can proof you have more knowledge does not mean you are smart. Agree with it if you holding certificate yes you can work in air-con environment but in salary should not much difference. if everything go for balance the earth with be more healthy and human will be more happiness.",positive,worry
"a-symptomatic, right why is that because you can't test for covid19 but you test for some antibody which could be caused by many other things right lets talk about this","a-symptomatic, right why is that because you can't test for covid19 but you test for some antibody which could be caused by many other things right lets talk about this",neutral,worry
The introduction shows all these images of the virus but has anyone ever isolated the covid19  virus?,The introduction shows all these images of the virus but has anyone ever isolated the covid19  virus?,neutral,neutral
waik alone much better free n easy 👍,waik alone much better free n easy ,positive,neutral
https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,neutral,neutral
https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,neutral,neutral
https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,neutral,neutral
https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,https://www.youtube.com/watch?v=6_HzIEO4vWM&t=68s,neutral,neutral
"At least in Singapore, u can go walking or jogging. Some countries will arrest you.","At least in Singapore, u can go walking or jogging. Some countries will arrest you.",neutral,neutral
"lock up logistic, when people stop virus stop, wear mask no matter sick or not, economic value less than people lives value.","lock up logistic, when people stop virus stop, wear mask no matter sick or not, economic value less than people lives value.",neutral,worry
"I wish to know, did Mr. Lee drink the water given by Doraemon? first drink, he can speak Malay, second drink , then he can speak Mandarin. hahahahha.","I wish to know, did Mr. Lee drink the water given by Doraemon? first drink, he can speak Malay, second drink , then he can speak Mandarin. hahahahha.",neutral,neutral
#SGUNITED we can go through this together,#SGUNITED we can go through this together,neutral,neutral
Thank you for your information and news. Those who view this video may have a good idea which they can apply in their home city or country to fight against deadly virus COVID-19.  Proud of you Mr. PM Lee.  May Almighty God Bless all of you. Harry Soemyint Chiangrai.TH,Thank you for your information and news. Those who view this video may have a good idea which they can apply in their home city or country to fight against deadly virus COVID-19.  Proud of you Mr. PM Lee.  May Almighty God Bless all of you. Harry Soemyint Chiangrai.TH,positive,happiness
How come got reservoir of untraceable carriers but all along always say traceable all that etc. How can that happen if all along reported that all is traceable etc.,How come got reservoir of untraceable carriers but all along always say traceable all that etc. How can that happen if all along reported that all is traceable etc.,neutral,worry
"I’m enjoying the circuit breaker - it’s the perfect time to do some self-reflection and rethink priorities. Health and family over money : when you are dying, you are not going to be wishing to have more money to go shopping","Im enjoying the circuit breaker - its the perfect time to do some self-reflection and rethink priorities. Health and family over money : when you are dying, you are not going to be wishing to have more money to go shopping",positive,happiness
9000 case,9000 case,neutral,neutral
i beleive in singapore,i beleive in singapore,neutral,love
we can kill the virus,we can kill the virus,negative,worry
"Pm say stay home how about jobless people n those not enough$$ cause of this lockdown people business bad n cannot even go interview find new job ...$ 600 is one time payout n then the 500 dollars only selected people based on document  what If people do not get the 500 dollarsfrom MSF.. Ya,agree must stay home we worried long term we stay not enough income ..","Pm say stay home how about jobless people n those not enough$$ cause of this lockdown people business bad n cannot even go interview find new job ...$ 600 is one time payout n then the 500 dollars only selected people based on document  what If people do not get the 500 dollarsfrom MSF.. Ya,agree must stay home we worried long term we stay not enough income ..",negative,worry
#1 trending 🔥,#1 trending ,neutral,neutral
I am so privileged to work in this country with this great leader. God bless you always PM Lee.,I am so privileged to work in this country with this great leader. God bless you always PM Lee.,positive,happiness
Thank you Cheryl,Thank you Cheryl,positive,love
18:42 😏😏😏,18:42 ,neutral,neutral
Good,Good,positive,happiness
How many PMs can speak three languages?,How many PMs can speak three languages?,neutral,neutral
Business will all stop and backrupt,Business will all stop and backrupt,neutral,neutral
"Jiayou, Singapore.  Thank you for being kind to the migrant workers.","Jiayou, Singapore.  Thank you for being kind to the migrant workers.",positive,happiness
Of course double musk still needed even its liftup officially - distances due to double musk .....,Of course double musk still needed even its liftup officially - distances due to double musk .....,neutral,worry
#FuckPAP,#FuckPAP,negative,hate
"Just shifted the hari raya holidays and bazaar celebrate , once in June hopefully after liftup ........","Just shifted the hari raya holidays and bazaar celebrate , once in June hopefully after liftup ........",positive,happiness
Dear mr Lee can hari raya celebrate 2 days included bazaar one month to carried forward until after first June once lift up but not fasting month remain as calender listed 2020 thank you  🙂😎,Dear mr Lee can hari raya celebrate 2 days included bazaar one month to carried forward until after first June once lift up but not fasting month remain as calender listed 2020 thank you  ,positive,neutral
"How do they control the entrance to the market by the even and odd number on the last digit of the NRIC ? Odd number goes on odd date, even number goes on even date ?","How do they control the entrance to the market by the even and odd number on the last digit of the NRIC ? Odd number goes on odd date, even number goes on even date ?",neutral,neutral
"Super market should do away with GST. Operate outlet only on weekdays for 12 hours. Online and Delivery on weekend. The essential workers also need to Rest, do cleaning and disinfection of the outlet. No weekend - will stop people from having reason to go - out and create crowd. Many of our essential Workers are Singaporean/PR and we need to keep them healthy.  \n\nIncrease online order slots via IC last digit. And via household - to ease the delivery. Online also can hoard. Resulted in people over purchase.\n\nUse the technology correctly and going forwards - contactless. \n\nChecking IC - mean more  face-to-face checking. And need more enforcement officers. This is not time for job creation.","Super market should do away with GST. Operate outlet only on weekdays for 12 hours. Online and Delivery on weekend. The essential workers also need to Rest, do cleaning and disinfection of the outlet. No weekend - will stop people from having reason to go - out and create crowd. Many of our essential Workers are Singaporean/PR and we need to keep them healthy.    Increase online order slots via IC last digit. And via household - to ease the delivery. Online also can hoard. Resulted in people over purchase.  Use the technology correctly and going forwards - contactless.   Checking IC - mean more  face-to-face checking. And need more enforcement officers. This is not time for job creation.",neutral,worry
Will it be less costly if everyone goes for the swab?,Will it be less costly if everyone goes for the swab?,negative,worry
Lee only know about bring his relatives to hold positions in government,Lee only know about bring his relatives to hold positions in government,neutral,neutral
Hi stays Strong's singapore wills overcomes COVID-19 connovirus times.,Hi stays Strong's singapore wills overcomes COVID-19 connovirus times.,neutral,neutral
Magic water,Magic water,neutral,neutral
"By looking at the statistics of the confirm cases, most people will think Singapore is a big country.","By looking at the statistics of the confirm cases, most people will think Singapore is a big country.",neutral,neutral
After these measures my body become like 🐷🐖🐖🐖🐮🐴 obviously,After these measures my body become like  obviously,neutral,neutral
Unlinked cases might be spread by those with mild or no symptoms. So why not do antibody testing so that we know who has been infected. This will helps with lifting the lockdown,Unlinked cases might be spread by those with mild or no symptoms. So why not do antibody testing so that we know who has been infected. This will helps with lifting the lockdown,neutral,worry
"I love the way he speaks melayu and indonesian words all mixed together. (Not mentioning other 2 languages).. Love you pak, semoga kita di asia tenggara bisa maju dan selamat hingga bebas dari wabah ini.","I love the way he speaks melayu and indonesian words all mixed together. (Not mentioning other 2 languages).. Love you pak, semoga kita di asia tenggara bisa maju dan selamat hingga bebas dari wabah ini.",positive,love
"The Government should had look into the dorms earlier. In US and according to Dr John Campbell, Uk 2 metres is needed instead of 1 metre. Also look at Taiwan, why their number are so Low. Because they wear masks earlier on. ONE QUESTION: from which COUNTRY are we getting our equipments?  NOT FROM CHINA, I HOPE","The Government should had look into the dorms earlier. In US and according to Dr John Campbell, Uk 2 metres is needed instead of 1 metre. Also look at Taiwan, why their number are so Low. Because they wear masks earlier on. ONE QUESTION: from which COUNTRY are we getting our equipments?  NOT FROM CHINA, I HOPE",neutral,worry
"Sg numbers exploded exponentially because, yes the foreign workers really should have been better taken care of by their companies, but also the gov is aggressively testing people who don't feel ill. Which only a small handful of countries in the world are doing. Most aren't.\nWe can probably double the numbers we're seeing in the world right now.","Sg numbers exploded exponentially because, yes the foreign workers really should have been better taken care of by their companies, but also the gov is aggressively testing people who don't feel ill. Which only a small handful of countries in the world are doing. Most aren't. We can probably double the numbers we're seeing in the world right now.",neutral,worry
"Sorry to hear the bad news of the virus which affect the foreign workers that stays in a dorms.It's good news that the gov. trying their very best to minimise the spread against public  and other S'porean.Sorry to say that before the circuit breaker been implement mostly the foreign workers here had their part-time  girl-friends maids etc. and met on weekends during their off days.This must be a big concern if the foreign workers do met their part-time girlfriends maids and been infected,nobody knows nor their employers,when they had been infected the virus will start linking from this person to other publics S'porean.Hope the gov. will take a robust concern onto this matter.I thank the gov. for their strong hope and concern to flight harshly to reduce the pedemic.Stay strong S'porean....💪💪💪👏👏👏👏👏","Sorry to hear the bad news of the virus which affect the foreign workers that stays in a dorms.It's good news that the gov. trying their very best to minimise the spread against public  and other S'porean.Sorry to say that before the circuit breaker been implement mostly the foreign workers here had their part-time  girl-friends maids etc. and met on weekends during their off days.This must be a big concern if the foreign workers do met their part-time girlfriends maids and been infected,nobody knows nor their employers,when they had been infected the virus will start linking from this person to other publics S'porean.Hope the gov. will take a robust concern onto this matter.I thank the gov. for their strong hope and concern to flight harshly to reduce the pedemic.Stay strong S'porean....",neutral,worry
Minister Heng Swee keat never looked happier for the conference to end ahahah so cute,Minister Heng Swee keat never looked happier for the conference to end ahahah so cute,positive,happiness
Please open ABC Value store 👍,Please open ABC Value store ,neutral,neutral
Sorry to say migrant worker dorm need to be kept clean and tidy have you ever seen their place to stay pls look up the matter seriously... They are human being we should thanks to them for their hard work in singapore. To the employer pls take your effort to do something about it \nPlace to stay need to be clean at all times.,Sorry to say migrant worker dorm need to be kept clean and tidy have you ever seen their place to stay pls look up the matter seriously... They are human being we should thanks to them for their hard work in singapore. To the employer pls take your effort to do something about it  Place to stay need to be clean at all times.,neutral,worry
"People are such creatures of habit and when they are told to do something different or don’t get what they want, they freak out, complain and grouch. One ought to learn to be adaptable and make adjustments when necessary. In every thing there’s always a way out. Look at the big picture and be proactive. Stop the ‘me’ mentality and start thinking more for others. Even after this Covid-19 pandemic is over, we still have to deal with the aftermath. We need to summon all our wits, strength and courage to pick up our lives to achieve normalcy again. Brace up, lovely \npeople of Singapore.","People are such creatures of habit and when they are told to do something different or dont get what they want, they freak out, complain and grouch. One ought to learn to be adaptable and make adjustments when necessary. In every thing theres always a way out. Look at the big picture and be proactive. Stop the me mentality and start thinking more for others. Even after this Covid-19 pandemic is over, we still have to deal with the aftermath. We need to summon all our wits, strength and courage to pick up our lives to achieve normalcy again. Brace up, lovely  people of Singapore.",positive,worry
U.S. Politician Heard Sayng By Mistake Corona Virus Is A Hoax: www.infowars.com/hot-mic-moment-at-coronavirus-task-force-briefing/,U.S. Politician Heard Sayng By Mistake Corona Virus Is A Hoax: www.infowars.com/hot-mic-moment-at-coronavirus-task-force-briefing/,negative,worry
"Thank you for what you have done. Please have an open mind when things do improve, allow us to return to normacy quickly. Appreciate the effort greatly.","Thank you for what you have done. Please have an open mind when things do improve, allow us to return to normacy quickly. Appreciate the effort greatly.",positive,relief
Thank you for having this content available.  sending encouragement to Singapore from the USA. 💗💪,Thank you for having this content available.  sending encouragement to Singapore from the USA. ,positive,happiness
It is logical for this lockdown to be extended until June 1st ...So everyone stay at home ok.,It is logical for this lockdown to be extended until June 1st ...So everyone stay at home ok.,neutral,neutral
"完蛋了这两天连续暴涨。这和每个国家在大爆发的前期一模一样。图表📈如火箭飞上去。而且新加坡人口太密集了，就如一艘船有传染病时全部人都会遭殃。真的需要完完全全关闭一个月啊。这时候在谈 Human rights 就等死了。要把疫情压下来目前唯一一个办法就是完完全全封闭，戴口罩, stay at home . Stay at home."," Human rights , stay at home . Stay at home.",neutral,neutral
Singapore United against the tyrant and his fake democracy PAP party,Singapore United against the tyrant and his fake democracy PAP party,negative,hate
Staying at Home 🏠👩‍💻🏠🏠👍👍👍,Staying at Home ,neutral,neutral
Mask 😷😷😷👍👍,Mask ,neutral,neutral
Stay At Home 🏠🏠🏠👍👍👍,Stay At Home ,neutral,neutral
a wise choice,a wise choice,positive,neutral
Hohoho.. This huge group of migrants who recovered from the virus can donate their blood.. It will help to save those in critical condition,Hohoho.. This huge group of migrants who recovered from the virus can donate their blood.. It will help to save those in critical condition,positive,worry
Can the coronavirus be spread through farts?\nhttps://nypost.com/2020/04/20/can-the-coronavirus-be-spread-through-farts/,Can the coronavirus be spread through farts? https://nypost.com/2020/04/20/can-the-coronavirus-be-spread-through-farts/,neutral,worry
thank you cheryl,thank you cheryl,positive,love
Mr Lee and his Magic Tea,Mr Lee and his Magic Tea,neutral,happiness
he’s wearing a blue shirt,hes wearing a blue shirt,neutral,neutral
Praised by useless WHO and so called experts haha resign pm lee and lower ur wife salary. People are suffering,Praised by useless WHO and so called experts haha resign pm lee and lower ur wife salary. People are suffering,negative,sadness
Why minister not wearing mask? Air droplets still can travel 1m away...,Why minister not wearing mask? Air droplets still can travel 1m away...,neutral,worry
The migrants are bringing covid into Singapore. From India.,The migrants are bringing covid into Singapore. From India.,neutral,neutral
"Singapore's government is Top Notch, Leading with the Brightest and Sharpest Minds, with Humility, Groundedness and a Heart for All people. Indeed a Role Model Country","Singapore's government is Top Notch, Leading with the Brightest and Sharpest Minds, with Humility, Groundedness and a Heart for All people. Indeed a Role Model Country",positive,happiness
https://youtu.be/7eG91sZR4IU\nget out Singaporean take fresh air and go wherever you want. spread the virus with love.,https://youtu.be/7eG91sZR4IU get out Singaporean take fresh air and go wherever you want. spread the virus with love.,positive,love
