text,clean_text,sentiment,emotion
anyone know how do i volunteer for the taskforce to help fix needy children's hbl computers?,anyone know how do i volunteer for the taskforce to help fix needy children's hbl computers?,neutral,worry
"just another driving test ahead,  watch up your front and slow down when you need. and Don't ever forget your destination","just another driving test ahead,  watch up your front and slow down when you need. and Don't ever forget your destination",neutral,neutral
"old musics:\nsome time old magic wands may not work , cos people are tired of the same tunes.","old musics: some time old magic wands may not work , cos people are tired of the same tunes.",negative,sadness
"blah blah blah, the number of cases keep  growing for month, still many no-brainers are praising this incompetent regime","blah blah blah, the number of cases keep  growing for month, still many no-brainers are praising this incompetent regime",negative,hate
i only watched this hoping for them to extend hbl,i only watched this hoping for them to extend hbl,positive,worry
"Let see .where can I look for jobs ? Dish washer , temp cleaner ,swap tester .","Let see .where can I look for jobs ? Dish washer , temp cleaner ,swap tester .",neutral,neutral
Nobody:\nPm Lee: Do not fear,Nobody: Pm Lee: Do not fear,positive,neutral
If someone were to catch the deadly Covid-19 and about to die. What is your one and only immediate short term request for our Gov. to grant ??,If someone were to catch the deadly Covid-19 and about to die. What is your one and only immediate short term request for our Gov. to grant ??,negative,worry
Retirement age was suppose to be 55. And the have now made the retirement paid-out start from 70 and over the period until 90 years of age. So old folks get only 100+ dollar every months & how to survive. Don't just talk. If the cannot live from 62 to 70. money from 70-90 will not help the country.,Retirement age was suppose to be 55. And the have now made the retirement paid-out start from 70 and over the period until 90 years of age. So old folks get only 100+ dollar every months & how to survive. Don't just talk. If the cannot live from 62 to 70. money from 70-90 will not help the country.,neutral,worry
"Many migrant workers are here to build the planned infrastructure for the 10M population, we had seen how MBS, RWS, T5 and the new MRT investments going to waste. Those billion of dollars are going to take time to recover. 1/3 of our population is FW. Where is the Balance. With another 1/3 FT & New Citizens. \n\nIsn't this time to Spring Clean the un-necessary projects. Give free land for local to produce our own food & essential - hence reduce the dependent. \n\nPlease show the data sheet of the usage of the 100 billions reserved called out and who got it? Ask the citizen before coming out with schemes which only benefit small population that is relevant to this Gov.","Many migrant workers are here to build the planned infrastructure for the 10M population, we had seen how MBS, RWS, T5 and the new MRT investments going to waste. Those billion of dollars are going to take time to recover. 1/3 of our population is FW. Where is the Balance. With another 1/3 FT & New Citizens.   Isn't this time to Spring Clean the un-necessary projects. Give free land for local to produce our own food & essential - hence reduce the dependent.   Please show the data sheet of the usage of the 100 billions reserved called out and who got it? Ask the citizen before coming out with schemes which only benefit small population that is relevant to this Gov.",neutral,worry
You hv spoken on TV at least 4 times.  Each time it get worst.  Hope this time would be different.,You hv spoken on TV at least 4 times.  Each time it get worst.  Hope this time would be different.,neutral,worry
You n yr govt have failed in this Virus handling !,You n yr govt have failed in this Virus handling !,negative,worry
SG United!!! We can win over this virus.,SG United!!! We can win over this virus.,positive,happiness
"The good economic times are over, but keep on paying those $450K mortgages on your ""subsidized"" ""public housing"".","The good economic times are over, but keep on paying those $450K mortgages on your ""subsidized"" ""public housing"".",positive,worry
I love Singapore,I love Singapore,positive,love
Do not fear means more fear .do not worry means worry .,Do not fear means more fear .do not worry means worry .,positive,worry
"Are CNA's reporters lazy or ignorant or are they part of US white supremacist steve bannon's  propaganda machine? Just on CNA live, CNA reporter interviewing a woman named Cho from Hong Kong , who was echoing what US white supremacist steve bannon has been trying to do, i.e. reflecting the anger of the protesters in the US on to China? Did the CNA reporter asked for the view of any Chinese officials regarding the issue? No doubt the clip will be telecast a few times during the day.","Are CNA's reporters lazy or ignorant or are they part of US white supremacist steve bannon's  propaganda machine? Just on CNA live, CNA reporter interviewing a woman named Cho from Hong Kong , who was echoing what US white supremacist steve bannon has been trying to do, i.e. reflecting the anger of the protesters in the US on to China? Did the CNA reporter asked for the view of any Chinese officials regarding the issue? No doubt the clip will be telecast a few times during the day.",negative,worry
"Safe distancing must follow anywhere n everywhere..... but in Mrt n BUS no need!!!! Just like no smoking in many places n enclosed areas but in Casino no problem can smoke n throw cigarette butt anywhere, you would not be fined!!!!!! What is this double standard government?","Safe distancing must follow anywhere n everywhere..... but in Mrt n BUS no need!!!! Just like no smoking in many places n enclosed areas but in Casino no problem can smoke n throw cigarette butt anywhere, you would not be fined!!!!!! What is this double standard government?",neutral,worry
The comment section has too many potential prime ministers! I can't wait to vote for them!,The comment section has too many potential prime ministers! I can't wait to vote for them!,positive,happiness
I swear people putting fancam about PM Lee's pink shirt 😂,I swear people putting fancam about PM Lee's pink shirt ,neutral,neutral
"During this unprecedented time, PM Lee making long speeches without entertaining questions from the public is only a one sided (his) view.\n\nScrolling down, there are more than 1k of thoughts, questions and different view of which substantially are left  unanswered..\n\nCan PM Lee do it differently next time?","During this unprecedented time, PM Lee making long speeches without entertaining questions from the public is only a one sided (his) view.  Scrolling down, there are more than 1k of thoughts, questions and different view of which substantially are left  unanswered..  Can PM Lee do it differently next time?",neutral,worry
plz cancel reservist for this year xD,plz cancel reservist for this year xD,negative,sadness
"Exxon Mobil and Shell oil refineries  engaging underpaid cheap migrant workers violated International Law esp. UN Migrant Workers Regulations Sect 9.2 Sub 3.\n\nIF both Exxon.Mobil and Shell are not employing or creating jobs for local Singaporean workers, maybe they should move out to elsewhere.\n\nSingapore doesn't need you.","Exxon Mobil and Shell oil refineries  engaging underpaid cheap migrant workers violated International Law esp. UN Migrant Workers Regulations Sect 9.2 Sub 3.  IF both Exxon.Mobil and Shell are not employing or creating jobs for local Singaporean workers, maybe they should move out to elsewhere.  Singapore doesn't need you.",negative,worry
Lee Hsien Loong and Ho Ching is China Puppet.,Lee Hsien Loong and Ho Ching is China Puppet.,neutral,neutral
Highest paid with average results. You and your ministers should Take a pay cut for the lousy way you manage the foreign workers dormitories. Learn from humble Vietnam.,Highest paid with average results. You and your ministers should Take a pay cut for the lousy way you manage the foreign workers dormitories. Learn from humble Vietnam.,positive,worry
Please open Library,Please open Library,neutral,neutral
Please take care your health and your family as well. You are very good prime minister. Most of Singaporean may be happy with you.Good logic you have. And also practical.,Please take care your health and your family as well. You are very good prime minister. Most of Singaporean may be happy with you.Good logic you have. And also practical.,positive,happiness
"For the 40K who have tested positive and thousands who recovered, hasn't the NCID collected enough data to determine  how many percent of those infected actually developed antibodies, and from those who developed the antibodies, if a vaccine can be developed from them. Why haven't we got updates from the team of local scientists and researchers who benefited so much from the incubation culture provided them by Gov.sg This lack of updates from local scientists - doctors - rather than political office holders is a real concern. It's disappointing if for all the numbers of cases we have treated, nothing much were to come from it, regardless of what the other centres and labs purport to be doing.","For the 40K who have tested positive and thousands who recovered, hasn't the NCID collected enough data to determine  how many percent of those infected actually developed antibodies, and from those who developed the antibodies, if a vaccine can be developed from them. Why haven't we got updates from the team of local scientists and researchers who benefited so much from the incubation culture provided them by Gov.sg This lack of updates from local scientists - doctors - rather than political office holders is a real concern. It's disappointing if for all the numbers of cases we have treated, nothing much were to come from it, regardless of what the other centres and labs purport to be doing.",negative,worry
Amen,Amen,neutral,neutral
Such a firm and visionary speech!,Such a firm and visionary speech!,positive,happiness
Thank god the worthless nightclubs are going down. We don't need such a pathetic service in the world.,Thank god the worthless nightclubs are going down. We don't need such a pathetic service in the world.,neutral,sadness
Singapore is managing the situation well. Singapore can do this. \n@,Singapore is managing the situation well. Singapore can do this.  @,positive,neutral
i am so glad that we dont have someone like trump managing this country.,i am so glad that we dont have someone like trump managing this country.,positive,happiness
One word... Horticulture,One word... Horticulture,neutral,neutral
"singapore benefits with the rise of and maximizing globalization, and will suffer with nationalism of each country...","singapore benefits with the rise of and maximizing globalization, and will suffer with nationalism of each country...",neutral,worry
he is asking for death wish,he is asking for death wish,neutral,worry
Yawn....\nZzzzz..,Yawn.... Zzzzz..,neutral,neutral
If he can give me $3600 every year then i got nothing to fear,If he can give me $3600 every year then i got nothing to fear,positive,worry
Why wear pink? Should wear black because heart is greedy and black,Why wear pink? Should wear black because heart is greedy and black,negative,sadness
"My favourite stand-up comedian, PM Lee, coming up with something else to keep the general population satisfied.","My favourite stand-up comedian, PM Lee, coming up with something else to keep the general population satisfied.",positive,happiness
Yes but pls check foreigners having fake ic and passports India Indian are very smart in dublicating that is why they remain beggars and have to beg for citizenship in Singapore,Yes but pls check foreigners having fake ic and passports India Indian are very smart in dublicating that is why they remain beggars and have to beg for citizenship in Singapore,positive,worry
Breaking PMETs rice bowl\nDestroyed their family\nCausing their children to suffer in pain.\nNo one brings food to the table.\n\nVery cruel indeed.,Breaking PMETs rice bowl Destroyed their family Causing their children to suffer in pain. No one brings food to the table.  Very cruel indeed.,negative,sadness
Is Singapore a free country?,Is Singapore a free country?,neutral,neutral
"To those who make comments to show that they are better off I will request these qualities from you: RESPECT TO EVERYONE, GRATITUDE TO EVERY GRACE WE ARE GIVEN, GIVE CONSTRUCTIVE SUGGESTION. ASKING ONESELF CAN WE DO BETTER AS LEADER? \nI guess most who put negative comments are young people who Has not experienced a secret society member going up to your shop house to ask for money,  make-shift villages using woods and leaves and caught fires. Parents would tell you: if you cannot study, stop and go out to work to support your siblings, did not have a place to study until dinner was over and you could get a table at home to start doing your homework. No matter how bad a leader he is or anyone is , you are being kept alive in a country where there is an army to protect you, a roof over your top , clean water running. What have you done for your country and community. Has a sense of respect and gratitude first. If not the wheel will return to you. You will see that your children will not show respect and gratitude in years to come. If you want to critic , make constructive statements. Request for what you want and need , for the PM to speak so that is more beneficial.","To those who make comments to show that they are better off I will request these qualities from you: RESPECT TO EVERYONE, GRATITUDE TO EVERY GRACE WE ARE GIVEN, GIVE CONSTRUCTIVE SUGGESTION. ASKING ONESELF CAN WE DO BETTER AS LEADER?  I guess most who put negative comments are young people who Has not experienced a secret society member going up to your shop house to ask for money,  make-shift villages using woods and leaves and caught fires. Parents would tell you: if you cannot study, stop and go out to work to support your siblings, did not have a place to study until dinner was over and you could get a table at home to start doing your homework. No matter how bad a leader he is or anyone is , you are being kept alive in a country where there is an army to protect you, a roof over your top , clean water running. What have you done for your country and community. Has a sense of respect and gratitude first. If not the wheel will return to you. You will see that your children will not show respect and gratitude in years to come. If you want to critic , make constructive statements. Request for what you want and need , for the PM to speak so that is more beneficial.",neutral,worry
in 1995 I was struck by shingles virus....,in 1995 I was struck by shingles virus....,negative,worry
Don't be fooled. This is the usual pre election campaign speech. Make hay while the sun shines! Strike while the iron is hot!,Don't be fooled. This is the usual pre election campaign speech. Make hay while the sun shines! Strike while the iron is hot!,neutral,worry
"Is the fight with the virus over?  Have effective measures been implemented at the dormitories to stop the virus from spreading amongst the migrants workers? \n\nShouldn't such speeches be delivered at the parliament? If viewership for parliament sessions is low as someone had claimed, what makes it thinks this series of national broadcasts will attract high viewership? Is this series of national broadcasts really for post covid-19 or the upcoming GE? \n\nNo life no post covid-19!","Is the fight with the virus over?  Have effective measures been implemented at the dormitories to stop the virus from spreading amongst the migrants workers?   Shouldn't such speeches be delivered at the parliament? If viewership for parliament sessions is low as someone had claimed, what makes it thinks this series of national broadcasts will attract high viewership? Is this series of national broadcasts really for post covid-19 or the upcoming GE?   No life no post covid-19!",neutral,worry
👍🙏 well said :)\n\nBut I have the feeling that he was saying how unlike China they are in their scruples and values 😂 Really pointing fingers at China 😅😅, well said :)  But I have the feeling that he was saying how unlike China they are in their scruples and values  Really pointing fingers at China ,neutral,neutral
👀💬this isn't what you THINK my apologies,this isn't what you THINK my apologies,negative,sadness
👀💬keep looking anyway no matter what deep who do grampa dudes,keep looking anyway no matter what deep who do grampa dudes,neutral,neutral
Look at shape of Friday,Look at shape of Friday,neutral,neutral
👀💬we just Awakened now lol JACK POT,we just Awakened now lol JACK POT,neutral,happiness
👀💬let's talk to it talk to it,let's talk to it talk to it,neutral,neutral
And he knows your cool,And he knows your cool,positive,neutral
Don't fear death,Don't fear death,positive,worry
For the sake of fairness Singapore should check if true that covid 19 virus leaked to a nearby nursing home in June 2019 long before Wuhan crisis from Fort Detrick lab in US. The Frederick News-Post in US reported this and a mayor reported he too fell ill around that time.,For the sake of fairness Singapore should check if true that covid 19 virus leaked to a nearby nursing home in June 2019 long before Wuhan crisis from Fort Detrick lab in US. The Frederick News-Post in US reported this and a mayor reported he too fell ill around that time.,negative,worry
👀💬bean out sir,bean out sir,neutral,neutral
👀💬LETS LOOK FOR IT!!!! SECTOR PER SECTOR for writter$ collected,LETS LOOK FOR IT!!!! SECTOR PER SECTOR for writter$ collected,neutral,neutral
👽💬it says seek me as you can find me and CUP will OVER FLOOOOOOOW!,it says seek me as you can find me and CUP will OVER FLOOOOOOOW!,neutral,neutral
👽💬You think you see a steal for a deal but no I'm really HERE,You think you see a steal for a deal but no I'm really HERE,neutral,worry
Wall and wood works now EVEN MUCH MORE PRICELESS,Wall and wood works now EVEN MUCH MORE PRICELESS,positive,happiness
😎💬 Remember...HES TALKING ABOUT YOU!!!!!!!, Remember...HES TALKING ABOUT YOU!!!!!!!,neutral,neutral
👽💬YOU BETTER NOT!!!!!,YOU BETTER NOT!!!!!,neutral,neutral
👽💬now I'm hmm baaaaaaaaaaaack congratulations!!!!!! 2029!!!!!!,now I'm hmm baaaaaaaaaaaack congratulations!!!!!! 2029!!!!!!,positive,happiness
👽💬fax means I got love for you gramps,fax means I got love for you gramps,positive,love
👽💬get it.. fax means hey you wait a minute that's.........???????????????,get it.. fax means hey you wait a minute that's.........???????????????,neutral,neutral
👽💬MY BET IS YOU FAIL so DOooooooooooont because HEY WINNER THATS MINE!!!!!!,MY BET IS YOU FAIL so DOooooooooooont because HEY WINNER THATS MINE!!!!!!,negative,sadness
Is a nod of the head mandatory at the start of every sentence?,Is a nod of the head mandatory at the start of every sentence?,neutral,worry
Hong you are a wanker,Hong you are a wanker,neutral,neutral
"He should have show more sincerity to give credit, respect and appreciation to everyone who has make  that little effort and those who have made the big sacrifices. Other than that this speech has no ingredients.","He should have show more sincerity to give credit, respect and appreciation to everyone who has make  that little effort and those who have made the big sacrifices. Other than that this speech has no ingredients.",positive,worry
Thank you Sir PM Lee Prime  of Singapore and first time listen ing your National appointment meeting  and and standing as if facing  all Singaporeans  young  and old and also to Singaporean  who is not  happy  with you and may I 82 old man saw you tonight  standing  straight  an old fashion  shirt  and plenty old voice  like your old daddy Mr L.K.LEE and I wish  you will be Bus Driver stoping at arrival  time picking up all our MPS for the Reports and You must strong  and Strong  and healthy And I am Sure we happy young and old Singaporeans  because  you have 100b Sing dollars to see us through and Big shot leaders just talk and no action but our P M always put food on our table and for me I say Thank  you Sir and take care,Thank you Sir PM Lee Prime  of Singapore and first time listen ing your National appointment meeting  and and standing as if facing  all Singaporeans  young  and old and also to Singaporean  who is not  happy  with you and may I 82 old man saw you tonight  standing  straight  an old fashion  shirt  and plenty old voice  like your old daddy Mr L.K.LEE and I wish  you will be Bus Driver stoping at arrival  time picking up all our MPS for the Reports and You must strong  and Strong  and healthy And I am Sure we happy young and old Singaporeans  because  you have 100b Sing dollars to see us through and Big shot leaders just talk and no action but our P M always put food on our table and for me I say Thank  you Sir and take care,positive,happiness
"Seeing all the riots in many countries, I am glad I am a Singaporean. We are peaceful here in Singapore. We also are  race harmonious. We are all Singaporeans, regardless of race, language or religion, We respect each other.   Singapore is the best country to be in. Wish and pray Singapore will always be peaceful.","Seeing all the riots in many countries, I am glad I am a Singaporean. We are peaceful here in Singapore. We also are  race harmonious. We are all Singaporeans, regardless of race, language or religion, We respect each other.   Singapore is the best country to be in. Wish and pray Singapore will always be peaceful.",positive,happiness
"Oops spqce x, did you think you coukd kill god completely, I hqve news for you, I am not a cloud computing.  Red, satan and moon.","Oops spqce x, did you think you coukd kill god completely, I hqve news for you, I am not a cloud computing.  Red, satan and moon.",neutral,worry
"ASEAN members don't supply eggs and shrimps .\n 1 June 2020, Japan govt started arranging business travel between Japan and these four countries ; Australia, New Zealand, Thailand and Vietnam. \nits first step toward normalizing international travel.\n\nSorry, PM Lee,  Not Singapore.\nWhy Japanese Govt do not believe Singapore covid19 containment "" Gold standard"" ?","ASEAN members don't supply eggs and shrimps .  1 June 2020, Japan govt started arranging business travel between Japan and these four countries ; Australia, New Zealand, Thailand and Vietnam.  its first step toward normalizing international travel.  Sorry, PM Lee,  Not Singapore. Why Japanese Govt do not believe Singapore covid19 containment "" Gold standard"" ?",negative,worry
"I also appear to be a targettrd individual in america. Im not american, so whats martinluthrr got to do with me. Perhqps becwuse this is either a vietnwm war zonr or american mind c8ntrol ce tre, or a fish virus of thr putrid thug xawn centre, one minute I am at thr fullerton, the next himeless in thug lwnd, who woukd believe it","I also appear to be a targettrd individual in america. Im not american, so whats martinluthrr got to do with me. Perhqps becwuse this is either a vietnwm war zonr or american mind c8ntrol ce tre, or a fish virus of thr putrid thug xawn centre, one minute I am at thr fullerton, the next himeless in thug lwnd, who woukd believe it",neutral,worry
"And yes singapore jeffrey xepstei  was in bali, with q mwlwysian bag and a tee shirt, get richie. Just thought id tellyou how every moment in their game, iw wgwinst freewill, honesty, integrityd, wnd privacy.  Privqcy qnd single soul status wnd a divine sovereign being, w right to own my self. Me.","And yes singapore jeffrey xepstei  was in bali, with q mwlwysian bag and a tee shirt, get richie. Just thought id tellyou how every moment in their game, iw wgwinst freewill, honesty, integrityd, wnd privacy.  Privqcy qnd single soul status wnd a divine sovereign being, w right to own my self. Me.",positive,neutral
"It's kind of weird when I spoke to my foreign when overseas last year.We had a chat over if anyway there is a possible global crisis and I stressed to him I was convinced that we would be the ones first to recover.I never doubt it due to the strong and resilient governance of our PM and his crews.Of course surely he must live up to the expectation simply because he's the son of our founding fathers,LKY.But looking at the magnitude of this pandemic had shaken my beliefs.However it's still heartening to hear what they are trying to do for us.","It's kind of weird when I spoke to my foreign when overseas last year.We had a chat over if anyway there is a possible global crisis and I stressed to him I was convinced that we would be the ones first to recover.I never doubt it due to the strong and resilient governance of our PM and his crews.Of course surely he must live up to the expectation simply because he's the son of our founding fathers,LKY.But looking at the magnitude of this pandemic had shaken my beliefs.However it's still heartening to hear what they are trying to do for us.",neutral,sadness
"Letstalk about what singapore learnt from me, the true history of thr unuverse, michael of nebqdon, salvington et al. It learnt about nwrcassistic intolerable qbuse, it learnt about sepsis, and flesh eating disease. But mostly it learnt what thugs do to wn in ocent person, eho never hqd an address, a nomad, why a nomad, if thry get me in one place, the swarm ofthugs find mr, wnd torture me, I ne er livr wncywhere usua, ly because of this well known, d8cu e trd diabolical torture, singapore, I now have an affidavit, im sure singapore might adore the real truth about theirillegsl and insidious crimes, and numbers are their god, algorithms, know any sex predator maths ge ius?.....I do.","Letstalk about what singapore learnt from me, the true history of thr unuverse, michael of nebqdon, salvington et al. It learnt about nwrcassistic intolerable qbuse, it learnt about sepsis, and flesh eating disease. But mostly it learnt what thugs do to wn in ocent person, eho never hqd an address, a nomad, why a nomad, if thry get me in one place, the swarm ofthugs find mr, wnd torture me, I ne er livr wncywhere usua, ly because of this well known, d8cu e trd diabolical torture, singapore, I now have an affidavit, im sure singapore might adore the real truth about theirillegsl and insidious crimes, and numbers are their god, algorithms, know any sex predator maths ge ius?.....I do.",negative,worry
"to summarize his speech, good luck! youre on your own!","to summarize his speech, good luck! youre on your own!",positive,happiness
"I am being treatec in a voyeuristic pathetic game.  What I wessr, eat, read, see and watch is used. Thr law of freewill ignored under their latest gqme of mental insanity, was god mad then, or brave. Singapore thryve hunted me hurt me, dtolen me, and im fed up. If I eat fish, thats my choice. Thr game, to invwde my life, wnd de ide in their sick spy game, inout algorithm codes, of ehat I do see hear smell taste watch qnd wear. This is illegal, and arm torcherer just stop hurting me now. Pathetic narcassistic gwmes, humqn sex trafficking and satanic ritual abuse, try clearing satan off thr planetmy head destroyed. Ehat is thr jezebal spirit.....so thugs. You wanted me to live w nor al lifr, you e brain raped me, dumbed me down, abused me, tortured me, hated me qnd cloned me, qnd qnd and chimera me. Oh qnd yes it appears satanwants me to ju p off a cliff, so thr sex indistry mightrevitslisr itself. Sexual predators and their abuse, I do not c8nsent.","I am being treatec in a voyeuristic pathetic game.  What I wessr, eat, read, see and watch is used. Thr law of freewill ignored under their latest gqme of mental insanity, was god mad then, or brave. Singapore thryve hunted me hurt me, dtolen me, and im fed up. If I eat fish, thats my choice. Thr game, to invwde my life, wnd de ide in their sick spy game, inout algorithm codes, of ehat I do see hear smell taste watch qnd wear. This is illegal, and arm torcherer just stop hurting me now. Pathetic narcassistic gwmes, humqn sex trafficking and satanic ritual abuse, try clearing satan off thr planetmy head destroyed. Ehat is thr jezebal spirit.....so thugs. You wanted me to live w nor al lifr, you e brain raped me, dumbed me down, abused me, tortured me, hated me qnd cloned me, qnd qnd and chimera me. Oh qnd yes it appears satanwants me to ju p off a cliff, so thr sex indistry mightrevitslisr itself. Sexual predators and their abuse, I do not c8nsent.",negative,sadness
Miss LKY.,Miss LKY.,negative,sadness
MANY SINGAPORE POLITICAL ESTABLISHMENT AND THEIR ASSOCIATES EARE CHINA CCP ARESELICKERS .THESE SINGAPORE CHINA CHINESE ARSE LICKERS WERE VERY RELUCTANT TO TANK TAIWAN FOR ITS COVID 19 ASSISTANCE. IN ADDITION I WATCHED A YOUTUBE VIDEO OF A SINGAPORE POLITICIAN WHO SAID THAT NEARLY ALL CHINA CHINESE WHO LEAVE THEIR COUNTRY AS TOURISTS RETURN TO CHINA AND THAT THIS DECADE WILL BE THE CHINA DECADE. FIRSTLY YES THIS DECADE WILL BE THE CHINA / WUHAN VIRUS DECADE / DECAPACITATION BY THE CHINA CCP OF THE WORLD TO TAKE OVER OTHERCOUNTRIES LAND AND RESOIURCES AND THIS POLITICIAN WHO MADE THE COMMENT ABOUT CHINA TOURISTS ALL RETURNING BACK TO THEIR HOME CHINA SEEMS BLISSFULLY UNAWARE THAT BEFORE COVID -19 500 CHINA CHINSES A MONTH WERE  CLAIMINING ASYLUM IN AUSTRALIA,MANY SINGAPORE POLITICAL ESTABLISHMENT AND THEIR ASSOCIATES EARE CHINA CCP ARESELICKERS .THESE SINGAPORE CHINA CHINESE ARSE LICKERS WERE VERY RELUCTANT TO TANK TAIWAN FOR ITS COVID 19 ASSISTANCE. IN ADDITION I WATCHED A YOUTUBE VIDEO OF A SINGAPORE POLITICIAN WHO SAID THAT NEARLY ALL CHINA CHINESE WHO LEAVE THEIR COUNTRY AS TOURISTS RETURN TO CHINA AND THAT THIS DECADE WILL BE THE CHINA DECADE. FIRSTLY YES THIS DECADE WILL BE THE CHINA / WUHAN VIRUS DECADE / DECAPACITATION BY THE CHINA CCP OF THE WORLD TO TAKE OVER OTHERCOUNTRIES LAND AND RESOIURCES AND THIS POLITICIAN WHO MADE THE COMMENT ABOUT CHINA TOURISTS ALL RETURNING BACK TO THEIR HOME CHINA SEEMS BLISSFULLY UNAWARE THAT BEFORE COVID -19 500 CHINA CHINSES A MONTH WERE  CLAIMINING ASYLUM IN AUSTRALIA,neutral,sadness
"Since watchung singapore tv last night, they attacked me this morning. Also what do I have to do with martin luther king. I am not american folks.","Since watchung singapore tv last night, they attacked me this morning. Also what do I have to do with martin luther king. I am not american folks.",negative,worry
"So singapire, and to the eondrous hotel, where I sat, in a pretty slim dress, drinking my wine, yes expensive wine, fullerton blessed me. I thsnk you from my heart, you healed me, I prayed most nights at the singapore hospital, since th3y hacked into my bank and medical insurance, and filled me with fear. You singapore achieved the I, possible, you gave me back louise. And so many united and helped, englsnd and its rabble are a disgrace. They play hurtful atrocious games. And dear singapire, their buses hurt my back,  the people here are so utterly selfish. I have never liked englsnd, I find them a selfish country. These are my wordsm8f truth, whilst wonderwoman, killed, and singapore made wonderwoman. Louise is a name for achieving thr imoossible, I didnt achieve it, singapore and the inhabitants that cared achieved it. I shoukd have stayed......coming back to englsnd was the worst decision I made. To luve in their fear, has been identified, no more of their fear, no more of their weapoms, and jantoo,  never steal whats not yours to steal, already you attempted again tominfect my body. J8 cornovirus, j8 and a back stabbing....a hole in my bqck is as bad as it gets really, and thr pain was atrocious. I am the way, I am the truth snd I am thr life, I believe, and believing ingod here gets you killed, what do these psycopathic idiots believe in? Themselves their ego. God pities their sadistic game. Thwnk you singapore, for propping me up and healing me. And making me feel pretty and a lady. Englsnd is a disgrace.","So singapire, and to the eondrous hotel, where I sat, in a pretty slim dress, drinking my wine, yes expensive wine, fullerton blessed me. I thsnk you from my heart, you healed me, I prayed most nights at the singapore hospital, since th3y hacked into my bank and medical insurance, and filled me with fear. You singapore achieved the I, possible, you gave me back louise. And so many united and helped, englsnd and its rabble are a disgrace. They play hurtful atrocious games. And dear singapire, their buses hurt my back,  the people here are so utterly selfish. I have never liked englsnd, I find them a selfish country. These are my wordsm8f truth, whilst wonderwoman, killed, and singapore made wonderwoman. Louise is a name for achieving thr imoossible, I didnt achieve it, singapore and the inhabitants that cared achieved it. I shoukd have stayed......coming back to englsnd was the worst decision I made. To luve in their fear, has been identified, no more of their fear, no more of their weapoms, and jantoo,  never steal whats not yours to steal, already you attempted again tominfect my body. J8 cornovirus, j8 and a back stabbing....a hole in my bqck is as bad as it gets really, and thr pain was atrocious. I am the way, I am the truth snd I am thr life, I believe, and believing ingod here gets you killed, what do these psycopathic idiots believe in? Themselves their ego. God pities their sadistic game. Thwnk you singapore, for propping me up and healing me. And making me feel pretty and a lady. Englsnd is a disgrace.",neutral,sadness
If only Sri Lanka has some leaders like him...,If only Sri Lanka has some leaders like him...,neutral,neutral
A smart leader indeed. Incomparable with the incompetent president of 🇺🇸. A toddler out in the wild. Running wild and free and blabbering nonsense. 🍼👶🏻🇺🇸,A smart leader indeed. Incomparable with the incompetent president of . A toddler out in the wild. Running wild and free and blabbering nonsense. ,positive,neutral
I cant believe I just watch half of it even myself I get bored in 2 minutes early,I cant believe I just watch half of it even myself I get bored in 2 minutes early,negative,sadness
Income making industries are forced to put on halt base on your decisions. Why not we look at these industries to help grow and prevent damage?,Income making industries are forced to put on halt base on your decisions. Why not we look at these industries to help grow and prevent damage?,negative,worry
As what i see from the speech mostly and likely only foreigners will give a thumps ups.,As what i see from the speech mostly and likely only foreigners will give a thumps ups.,neutral,worry
"Singapore abides by International Law and the Rule of Law.\n\nSingapore taxpayers will absorb all expenses incurred by dorm owners on 400,000 migrant workers during pandemic.\n\nAs taxpayer, Where's the logic?","Singapore abides by International Law and the Rule of Law.  Singapore taxpayers will absorb all expenses incurred by dorm owners on 400,000 migrant workers during pandemic.  As taxpayer, Where's the logic?",negative,hate
I still can't forget.who suggested not wearing mask at the beginning of the pandemic.,I still can't forget.who suggested not wearing mask at the beginning of the pandemic.,neutral,neutral
Kenapa tak pakai fesch mask,Kenapa tak pakai fesch mask,neutral,neutral
Well done SINGAPOREAN 🇸🇬 👍.,Well done SINGAPOREAN  .,positive,happiness
STOP LYING!,STOP LYING!,neutral,neutral
If the current unemployment is that high why is MOM issuing Employment Pass to foreigners so freely?,If the current unemployment is that high why is MOM issuing Employment Pass to foreigners so freely?,negative,worry
"PM, not much progress in current situation. Everyday still few hundreds cases. We are numb now. Time to plan and restructure like what your father always do. He always think at least 5 years ahead and you only 1 year ahead. Little lag but still got room for improvement.","PM, not much progress in current situation. Everyday still few hundreds cases. We are numb now. Time to plan and restructure like what your father always do. He always think at least 5 years ahead and you only 1 year ahead. Little lag but still got room for improvement.",negative,worry
Where to buy saudi shrimps? I want to try leh,Where to buy saudi shrimps? I want to try leh,neutral,neutral
great speech. from indonesia with love,great speech. from indonesia with love,positive,love
I just want to know when can i meet my girlfriend. Please.,I just want to know when can i meet my girlfriend. Please.,neutral,worry
